"Date":"Area.High":"Volume.High":"Area.Fluc":"Volume.Fluc":"Area.Low":"Volume.Low"
1990-09-29:"112":"40  ±  4":"1,295":"922 ± 52":"NA":"NA ± NA"
1991-07-27:"69":"14  ±  3":"1,192":"747 ± 48":"NA":"NA ± NA"
1992-10-16:"108":"23  ±  4":"1,770":"963 ± 71":"NA":"NA ± NA"
1993-10-08:"41":"7  ±  2":"1,006":"469 ± 40":"NA":"NA ± NA"
1994-04-08:"47":"12  ±  2":"1,014":"454 ± 41":"NA":"NA ± NA"
1994-11-20:"37":"8  ±  1":"768":"304 ± 31":"NA":"NA ± NA"
1995-04-25:"62":"9  ±  2":"940":"304 ± 38":"6,483":"11,256 ± 1,167"
1996-02-15:"87":"15  ±  3":"1,167":"507 ± 47":"6,827":"14,751 ± 1,229"
1996-04-17:"302":"44  ±  12":"997":"1,068 ± 40":"6,840":"12,430 ± 1,231"
1996-09-14:"217":"59  ±  9":"1,135":"1,010 ± 45":"6,770":"13,488 ± 1,219"
1997-02-15:"215":"68  ±  9":"1,160":"928 ± 46":"6,777":"17,909 ± 1,220"
1997-04-21:"214":"67  ±  9":"962":"805 ± 38":"6,768":"18,961 ± 1,218"
1997-08-25:"250":"70  ±  10":"1,036":"866 ± 41":"6,866":"19,979 ± 1,236"
1997-11-07:"181":"39  ±  7":"686":"577 ± 27":"NA":"NA ± NA"
1998-04-16:"201":"54  ±  8":"807":"439 ± 32":"7,142":"20,328 ± 1,286"
1999-05-05:"131":"29  ±  5":"724":"253 ± 29":"7,289":"9,550 ± 1,312"
2000-03-19:"83":"21  ±  3":"762":"268 ± 30":"7,241":"13,400 ± 1,303"
2000-06-04:"81":"14  ±  3":"672":"249 ± 27":"NA":"NA ± NA"
2000-08-21:"68":"13  ±  3":"653":"205 ± 26":"7,056":"7,030 ± 1,270"
2000-09-10:"104":"20  ±  4":"739":"247 ± 30":"7,275":"12,141 ± 800"
2001-10-06:"88":"17  ±  4":"781":"167 ± 31":"NA":"NA ± NA"
2002-09-20:"92":"14  ±  4":"831":"113 ± 33":"NA":"NA ± NA"
2003-04-26:"92":"18  ±  4":"879":"96 ± 35":"NA":"NA ± NA"
2003-09-21:"88":"13  ±  4":"1,037":"125 ± 41":"NA":"NA ± NA"
2004-12-30:"98":"11  ±  4":"1,028":"691 ± 41":"NA":"NA ± NA"
2005-05-08:"95":"15  ±  4":"709":"288 ± 28":"NA":"NA ± NA"
2006-10-08:"94":"15  ±  4":"1,349":"295 ± 54":"NA":"NA ± NA"
2007-10-14:"93":"13  ±  4":"1,113":"362 ± 45":"NA":"NA ± NA"
2008-02-03:"94":"14  ±  4":"1,329":"410 ± 53":"6,729":"15,920 ± 740"
2008-03-29:"188":"27  ±  8":"937":"851 ± 37":"7,007":"8,586 ± 771"
2008-10-12:"156":"45  ±  6":"1,046":"714 ± 42":"NA":"NA ± NA"
2009-10-11:"134":"34  ±  5":"1,102":"536 ± 44":"NA":"NA ± NA"
2011-10-06:"84":"5  ±  3":"1,038":"568 ± 42":"NA":"NA ± NA"
2012-10-04:"88":"11  ±  4":"1,163":"543 ± 47":"NA":"NA ± NA"
2013-09-22:"193":"58  ±  8":"1,416":"920 ± 57":"NA":"NA ± NA"
2014-09-25:"169":"56  ±  7":"761":"323 ± 30":"NA":"NA ± NA"
2015-09-24:"256":"70  ±  10":"987":"709 ± 39":"NA":"NA ± NA"
2016-10-02:"187":"59  ±  7":"996":"473 ± 40":"NA":"NA ± NA"
