"Date":"Area.High":"Volume.High":"Area.Fluc":"Volume.Fluc":"Area.Low":"Volume.Low"
1993-04-03:"4,254":"1205  ±  170":"3,435":"11,853 ± 137":"8,252":"55,405 ± 1,485"
1993-10-13:"248":"54  ±  10":"757":"401 ± 30":"14,570":"57,173 ± 2,623"
1994-04-13:"351":"85  ±  14":"585":"244 ± 23":"14,934":"47,832 ± 2,688"
1994-11-24:"263":"63  ±  11":"749":"251 ± 30":"14,604":"39,403 ± 2,629"
1995-04-30:"194":"45  ±  8":"2,294":"653 ± 92":"13,321":"75,760 ± 2,398"
1996-02-22:"295":"71  ±  12":"816":"336 ± 33":"14,742":"35,975 ± 2,653"
1996-04-22:"310":"232  ±  12":"735":"290 ± 29":"14,860":"24,583 ± 2,675"
1996-09-19:"315":"219  ±  13":"742":"265 ± 30":"14,890":"22,865 ± 2,680"
1997-02-18:"174":"102  ±  7":"735":"249 ± 29":"14,821":"25,913 ± 2,668"
1997-04-26:"281":"186  ±  11":"691":"253 ± 28":"14,535":"24,978 ± 2,616"
1997-08-29:"279":"178  ±  11":"767":"316 ± 31":"14,758":"25,706 ± 2,657"
1997-11-11:"254":"151  ±  10":"645":"337 ± 26":"NA":"NA ± NA"
1998-04-21:"181":"111  ±  7":"920":"441 ± 37":"14,683":"22,512 ± 2,643"
1999-05-10:"284":"151  ±  11":"838":"335 ± 34":"NA":"NA ± NA"
2000-03-24:"281":"144  ±  11":"847":"321 ± 34":"14,612":"12,651 ± 2,630"
2000-06-13:"309":"149  ±  12":"800":"436 ± 32":"14,319":"13,155 ± 2,577"
2000-08-26:"290":"149  ±  12":"834":"430 ± 33":"14,132":"13,937 ± 2,544"
2000-09-15:"231":"76  ±  9":"781":"436 ± 31":"14,742":"12,443 ± 2,654"
2001-10-10:"270":"106  ±  11":"796":"231 ± 32":"NA":"NA ± NA"
2002-09-27:"141":"34  ±  6":"1,101":"424 ± 44":"NA":"NA ± NA"
2003-09-27:"241":"47  ±  10":"849":"237 ± 34":"NA":"NA ± NA"
2005-05-13:"327":"163  ±  13":"872":"438 ± 35":"NA":"NA ± NA"
2006-10-13:"305":"117  ±  12":"900":"447 ± 36":"NA":"NA ± NA"
2007-10-19:"340":"118  ±  14":"777":"364 ± 31":"NA":"NA ± NA"
2008-02-09:"340":"117  ±  14":"782":"365 ± 31":"14,596":"30,086 ± 1,606"
2008-04-03:"372":"228  ±  15":"751":"387 ± 30":"14,712":"30,665 ± 1,618"
2008-10-17:"383":"211  ±  15":"732":"387 ± 29":"NA":"NA ± NA"
2009-10-16:"350":"164  ±  14":"747":"329 ± 30":"NA":"NA ± NA"
2011-10-11:"284":"82  ±  11":"682":"340 ± 27":"NA":"NA ± NA"
2012-10-09:"289":"89  ±  12":"880":"449 ± 35":"NA":"NA ± NA"
2013-09-27:"333":"138  ±  13":"859":"391 ± 34":"NA":"NA ± NA"
2014-09-30:"382":"168  ±  15":"771":"426 ± 31":"NA":"NA ± NA"
2015-09-29:"365":"177  ±  15":"729":"359 ± 29":"NA":"NA ± NA"
